card_imageName,HD_Timestamp,hd_filename
cd_04781,1388028296,cd_04781.1388028296
cd_04786,1425265038,cd_04786.1425265038
cd_04790,1388028297,cd_04790.1388028297
cd_04791,1388028297,cd_04791.1388028297
cd_04793,1388028297,cd_04793.1388028297
cd_04794,1388028297,cd_04794.1388028297
cd_04795,1388028298,cd_04795.1388028298
cd_04800,1368673345,cd_04800.1368673345
cd_04801,1368673345,cd_04801.1368673345
cd_04810,1388028302,cd_04810.1388028302
cd_04811,1388028303,cd_04811.1388028303
cd_04820,1388028303,cd_04820.1388028303
cd_04821,1388028303,cd_04821.1388028303
cd_04830,1388028301,cd_04830.1388028301
cd_04831,1388028301,cd_04831.1388028301
cd_04833,1388028301,cd_04833.1388028301
cd_04834,1388028302,cd_04834.1388028302
cd_04835,1388028302,cd_04835.1388028302
cd_04840,1388028303,cd_04840.1388028303
cd_04841,1388028303,cd_04841.1388028303
cd_04850,1395630048,cd_04850.1395630048
cd_04851,1395630048,cd_04851.1395630048
cd_04860,1404701938,cd_04860.1404701938
cd_04861,1404701938,cd_04861.1404701938
cd_04863,1404701938,cd_04863.1404701938
cd_04864,1404701938,cd_04864.1404701938
cd_04865,1404701939,cd_04865.1404701939
cd_04870,1389754936,cd_04870.1389754936
cd_04871,1389754936,cd_04871.1389754936
cd_04880,1389754935,cd_04880.1389754935
cd_04881,1389754935,cd_04881.1389754935
cd_04883,1389754935,cd_04883.1389754935
